cod_rol_jurado|cod_jurado|tipo_rol
182|161|SUPLENTE
183|462|SUPLENTE
184|369|PRESIDENTE
185|226|PRESIDENTE
186|397|PRESIDENTE
187|135|PRESIDENTE
188|463|VOCAL
189|354|VOCAL
190|356|VOCAL
191|302|SUPLENTE
192|148|SECRETARIO
193|138|VOCAL
194|237|SUPLENTE
195|67|SECRETARIO
196|313|PRESIDENTE
197|25|PRESIDENTE
198|284|PRESIDENTE
199|431|VOCAL
200|318|PRESIDENTE
201|93|SUPLENTE
202|46|VOCAL
203|163|SECRETARIO
204|78|SUPLENTE
205|413|VOCAL
206|393|SECRETARIO
207|143|PRESIDENTE
208|332|SUPLENTE
209|339|SECRETARIO
210|213|VOCAL
211|258|SUPLENTE
212|301|VOCAL
213|26|PRESIDENTE
214|245|SECRETARIO
215|270|PRESIDENTE
216|64|SUPLENTE
217|293|SUPLENTE
218|387|SECRETARIO
219|363|VOCAL
220|394|PRESIDENTE
221|106|SECRETARIO
222|452|SUPLENTE
223|310|SECRETARIO
224|118|PRESIDENTE
225|168|SECRETARIO
226|205|SUPLENTE
227|238|SUPLENTE
228|37|SECRETARIO
229|252|SECRETARIO
230|482|SUPLENTE
231|37|VOCAL
232|460|PRESIDENTE
233|484|VOCAL
234|182|SUPLENTE
235|42|SUPLENTE
236|274|VOCAL
237|307|SUPLENTE
238|488|PRESIDENTE
239|352|VOCAL
240|491|PRESIDENTE
241|16|SECRETARIO
242|435|SUPLENTE
243|356|SECRETARIO
244|114|SECRETARIO
245|312|SECRETARIO
246|55|SECRETARIO
247|500|SUPLENTE
248|291|SUPLENTE
249|9|VOCAL
250|52|PRESIDENTE
251|467|SUPLENTE
252|290|PRESIDENTE
253|422|SUPLENTE
254|356|SECRETARIO
255|206|PRESIDENTE
256|230|VOCAL
257|184|SUPLENTE
258|348|VOCAL
259|414|VOCAL
260|265|SUPLENTE
261|482|VOCAL
262|43|PRESIDENTE
263|163|SECRETARIO
264|345|PRESIDENTE
265|472|PRESIDENTE
266|149|SUPLENTE
267|303|PRESIDENTE
268|81|SUPLENTE
269|116|SUPLENTE
270|441|SUPLENTE
271|300|SUPLENTE
272|159|SECRETARIO
273|296|PRESIDENTE
274|433|SECRETARIO
275|329|SECRETARIO
276|437|PRESIDENTE
277|14|VOCAL
278|17|VOCAL
279|183|SUPLENTE
280|191|PRESIDENTE
281|345|PRESIDENTE
282|157|PRESIDENTE
283|349|SUPLENTE
284|56|VOCAL
285|208|SECRETARIO
286|194|SECRETARIO
287|484|SUPLENTE
288|323|SUPLENTE
289|86|VOCAL
290|226|PRESIDENTE
291|361|PRESIDENTE
292|135|SECRETARIO
293|427|VOCAL
294|221|PRESIDENTE
295|312|SECRETARIO
296|484|SUPLENTE
297|48|SUPLENTE
298|353|SECRETARIO
299|196|SUPLENTE
300|224|PRESIDENTE
301|453|PRESIDENTE
302|163|SUPLENTE
303|285|PRESIDENTE
304|293|PRESIDENTE
305|360|VOCAL
306|182|VOCAL
307|183|SECRETARIO
308|44|PRESIDENTE
309|18|PRESIDENTE
310|230|PRESIDENTE
311|233|SECRETARIO
312|303|SUPLENTE
313|73|SUPLENTE
314|5|SECRETARIO
315|106|SUPLENTE
316|447|PRESIDENTE
317|302|SUPLENTE
318|403|SECRETARIO
319|171|PRESIDENTE
320|121|PRESIDENTE
321|82|SECRETARIO
322|333|PRESIDENTE
323|151|VOCAL
324|27|SUPLENTE
325|386|PRESIDENTE
326|348|SUPLENTE
327|255|SUPLENTE
328|139|VOCAL
329|8|PRESIDENTE
330|227|PRESIDENTE
331|223|VOCAL
332|489|SECRETARIO
333|93|SUPLENTE
334|183|VOCAL
335|254|PRESIDENTE
336|251|VOCAL
337|45|PRESIDENTE
338|290|PRESIDENTE
339|217|VOCAL
340|490|VOCAL
341|418|PRESIDENTE
342|226|PRESIDENTE
343|451|SUPLENTE
344|95|SECRETARIO
345|90|SUPLENTE
346|162|SECRETARIO
347|32|SUPLENTE
348|259|SUPLENTE
349|297|SECRETARIO
350|277|SECRETARIO
351|205|SUPLENTE
352|391|VOCAL
353|337|VOCAL
354|44|VOCAL
355|290|SUPLENTE
356|454|SECRETARIO
357|44|SECRETARIO
358|210|SUPLENTE
359|411|SECRETARIO
360|497|VOCAL
361|411|PRESIDENTE
362|413|VOCAL
363|460|SECRETARIO
364|407|PRESIDENTE
365|235|VOCAL
366|233|PRESIDENTE
367|354|SECRETARIO
368|154|PRESIDENTE
369|462|VOCAL
370|500|SUPLENTE
371|388|SECRETARIO
372|32|SECRETARIO
373|125|VOCAL
374|330|SECRETARIO
375|153|SUPLENTE
376|354|VOCAL
377|487|SECRETARIO
378|230|SUPLENTE
379|76|PRESIDENTE
380|80|SECRETARIO
381|393|SUPLENTE
382|180|VOCAL
383|384|SECRETARIO
384|44|SECRETARIO
385|31|SECRETARIO
386|250|VOCAL
387|67|SECRETARIO
388|411|VOCAL
389|73|SUPLENTE
390|178|VOCAL
391|299|SUPLENTE
392|5|VOCAL
393|158|SUPLENTE
394|280|PRESIDENTE
395|338|PRESIDENTE
396|232|SECRETARIO
397|109|VOCAL
398|482|SECRETARIO
399|82|VOCAL
400|131|SECRETARIO
401|302|PRESIDENTE
402|120|SUPLENTE
403|458|SECRETARIO
404|307|VOCAL
405|114|SUPLENTE
406|27|PRESIDENTE
407|153|SECRETARIO
408|7|VOCAL
409|383|PRESIDENTE
410|110|VOCAL
411|419|SECRETARIO
412|339|VOCAL
413|99|SUPLENTE
414|324|SUPLENTE
415|179|PRESIDENTE
416|147|SUPLENTE
417|413|PRESIDENTE
418|202|VOCAL
419|242|SECRETARIO
420|293|SUPLENTE
421|265|PRESIDENTE
422|302|VOCAL
423|468|SUPLENTE
424|275|SECRETARIO
425|459|SUPLENTE
426|231|VOCAL
427|224|PRESIDENTE
428|153|SECRETARIO
429|383|PRESIDENTE
430|386|PRESIDENTE
431|3|SUPLENTE
432|330|PRESIDENTE
433|448|SUPLENTE
434|479|SECRETARIO
435|155|VOCAL
436|280|VOCAL
437|215|VOCAL
438|434|SUPLENTE
439|329|SUPLENTE
440|326|PRESIDENTE
441|271|SUPLENTE
442|37|SUPLENTE
443|13|SUPLENTE
444|194|SECRETARIO
445|42|SECRETARIO
446|444|VOCAL
447|376|SUPLENTE
448|358|PRESIDENTE
449|475|SUPLENTE
450|7|PRESIDENTE
451|197|PRESIDENTE
452|418|SUPLENTE
453|131|SECRETARIO
454|489|PRESIDENTE
455|492|VOCAL
456|319|SUPLENTE
457|38|SUPLENTE
458|305|SECRETARIO
459|95|PRESIDENTE
460|33|SECRETARIO
461|203|SECRETARIO
462|383|VOCAL
463|307|PRESIDENTE
464|115|PRESIDENTE
465|118|SECRETARIO
466|304|VOCAL
467|238|SECRETARIO
468|234|VOCAL
469|75|PRESIDENTE
470|153|PRESIDENTE
471|334|SECRETARIO
472|354|SUPLENTE
473|319|SUPLENTE
474|81|SECRETARIO
475|310|PRESIDENTE
476|263|SUPLENTE
477|425|PRESIDENTE
478|18|SUPLENTE
479|83|SUPLENTE
480|141|SECRETARIO
481|347|SUPLENTE
482|156|SUPLENTE
483|368|SUPLENTE
484|122|SECRETARIO
485|411|VOCAL
486|361|PRESIDENTE
487|228|PRESIDENTE
488|471|VOCAL
489|213|SUPLENTE
490|364|PRESIDENTE
491|422|PRESIDENTE
492|459|SUPLENTE
493|157|PRESIDENTE
494|223|SUPLENTE
495|309|SECRETARIO
496|295|SECRETARIO
497|365|SECRETARIO
498|113|SECRETARIO
499|243|SUPLENTE
500|163|SECRETARIO
