cod_revision_comite|cod_comite|cod_tramite|fecha|corregido
124|69|143|2017-08-11 00:40:01|true
125|94|422|2021-09-08 21:34:37|false
126|311|215|2021-07-19 05:51:00|true
127|74|126|2022-09-24 02:57:07|true
128|461|113|2020-06-17 20:54:37|true
129|390|121|2016-10-23 10:52:00|false
130|201|378|2018-12-16 07:48:07|false
131|289|456|2017-10-03 05:24:23|true
132|458|129|2015-02-10 02:32:08|true
133|479|471|2020-03-04 20:37:11|true
134|103|148|2015-04-03 01:38:10|false
135|364|285|2016-11-18 17:49:32|false
136|227|491|2020-12-18 12:39:01|true
137|225|142|2022-04-17 11:25:35|true
138|17|157|2017-01-04 13:08:12|false
139|213|200|2018-12-02 22:31:28|true
140|326|209|2020-12-06 01:10:40|true
141|488|54|2022-06-03 22:10:58|false
142|240|195|2015-05-29 15:18:22|false
143|84|17|2016-07-11 08:59:26|true
144|355|30|2020-01-30 12:44:53|false
145|249|7|2019-02-28 12:18:01|true
146|413|398|2015-12-18 12:02:46|true
147|391|260|2020-11-04 20:08:57|true
148|439|309|2018-07-02 15:24:54|true
149|437|271|2021-07-24 00:25:54|true
150|159|319|2018-12-25 00:36:00|false
151|321|182|2021-10-20 21:10:34|true
152|262|485|2021-04-10 12:24:43|false
153|272|121|2019-04-18 12:14:25|false
154|393|454|2018-04-24 23:45:26|false
155|401|227|2015-09-17 06:58:03|false
156|390|72|2015-07-21 15:48:32|false
157|89|114|2020-04-17 12:55:08|true
158|488|381|2015-02-28 13:19:15|true
159|260|208|2021-05-03 08:24:17|true
160|386|177|2021-08-23 13:39:22|false
161|120|300|2017-02-12 15:45:14|true
162|196|458|2015-12-08 18:33:02|true
163|327|344|2015-03-29 01:19:28|false
164|259|465|2019-07-15 00:12:51|true
165|88|81|2017-05-03 15:29:53|false
166|446|110|2022-01-10 05:28:51|true
167|343|294|2018-06-20 07:51:06|false
168|260|22|2020-02-03 16:16:21|false
169|480|289|2016-04-06 05:33:43|true
170|309|299|2021-01-20 01:49:27|true
171|488|497|2019-07-26 18:46:09|false
172|70|26|2021-09-22 14:28:31|false
173|340|185|2016-03-18 14:59:55|false
174|128|481|2018-03-31 21:36:47|true
175|17|348|2016-05-04 10:47:16|false
176|20|236|2016-04-08 07:48:24|true
177|218|330|2021-05-17 22:47:12|false
178|372|82|2018-11-12 08:10:24|true
179|197|49|2015-10-29 13:54:37|true
180|206|79|2019-02-22 08:39:45|false
181|224|467|2022-02-23 02:23:25|true
182|240|177|2017-06-05 17:04:32|true
183|373|358|2020-11-15 17:48:18|false
184|497|268|2018-09-13 20:58:28|true
185|185|310|2015-01-14 16:26:59|false
186|121|349|2022-10-27 01:01:40|true
187|12|459|2021-05-18 23:21:17|false
188|28|164|2020-01-29 19:44:49|false
189|75|39|2015-11-20 17:51:29|true
190|158|361|2015-12-18 01:55:37|true
191|308|445|2022-05-18 02:24:22|false
192|249|474|2022-07-15 21:47:43|false
193|98|108|2015-01-27 03:30:17|false
194|169|397|2015-01-26 17:21:14|true
195|195|402|2016-01-12 07:14:26|false
196|182|40|2022-05-24 12:45:24|true
197|465|316|2015-02-21 21:00:49|true
198|62|480|2020-10-20 22:03:58|false
199|131|15|2022-01-24 13:41:06|false
200|325|79|2016-09-04 07:44:24|true
201|109|328|2015-08-07 23:32:20|true
202|54|67|2020-10-21 21:33:48|true
203|255|290|2017-07-17 06:59:11|true
204|278|251|2015-08-26 16:43:32|true
205|244|364|2017-11-20 17:12:18|false
206|337|206|2022-11-14 19:05:13|false
207|206|253|2020-05-20 17:20:26|true
208|175|136|2018-10-12 01:24:47|true
209|125|391|2018-05-12 15:03:44|true
210|115|413|2022-01-09 06:14:18|true
211|255|376|2016-10-04 07:19:00|false
212|308|60|2021-02-12 01:39:05|true
213|167|337|2021-09-12 08:35:24|false
214|496|296|2020-08-20 00:22:07|true
215|183|191|2021-07-11 16:48:10|false
216|325|305|2018-07-29 11:46:17|true
217|61|134|2021-07-26 00:50:40|true
218|493|410|2015-12-13 10:03:24|true
219|442|496|2022-04-30 04:38:50|false
220|320|239|2020-02-11 06:38:02|true
221|394|467|2018-12-22 14:36:36|false
222|387|39|2021-09-13 22:14:51|false
223|31|363|2021-11-28 09:28:13|false
224|118|359|2017-01-07 03:26:07|true
225|412|33|2022-09-26 03:33:26|true
226|188|452|2018-09-06 12:40:41|false
227|269|462|2019-02-09 01:55:36|true
228|94|374|2022-11-02 15:01:33|false
229|363|175|2019-01-29 17:17:38|true
230|134|464|2018-04-06 20:54:56|true
231|91|136|2017-07-09 02:19:17|true
232|272|330|2018-04-02 18:30:20|false
233|216|76|2016-10-02 11:14:05|false
234|466|86|2018-12-13 11:38:07|false
235|330|86|2021-11-22 03:50:23|false
236|310|478|2017-06-08 15:51:03|true
237|121|349|2017-01-10 21:41:23|false
238|482|137|2020-09-13 14:58:02|true
239|93|36|2015-09-25 19:29:20|true
240|422|15|2016-08-31 18:12:09|false
241|245|111|2021-11-08 22:43:15|true
242|298|241|2022-01-01 02:23:05|true
243|463|242|2015-03-14 13:43:29|false
244|119|75|2016-10-15 10:34:39|true
245|170|356|2022-01-16 11:03:24|false
246|416|109|2019-08-09 09:49:18|true
247|453|429|2021-03-01 04:28:15|false
248|140|11|2022-11-06 17:44:13|false
249|88|116|2019-02-24 09:59:11|true
250|436|167|2019-04-17 16:56:31|false
251|445|497|2021-09-22 03:46:15|false
252|69|132|2020-06-10 15:10:26|true
253|294|77|2021-03-22 11:48:35|false
254|253|48|2021-12-05 18:32:47|false
255|15|470|2020-05-12 15:22:27|true
256|316|324|2020-01-20 20:11:18|false
257|219|416|2022-12-02 22:58:52|false
258|150|24|2018-06-15 10:00:21|true
259|74|109|2020-05-03 18:35:22|true
260|370|379|2015-10-11 08:41:11|false
261|496|283|2022-09-16 20:15:45|true
262|156|478|2017-01-08 08:33:29|false
263|450|38|2020-07-04 10:44:14|true
264|82|136|2021-09-30 21:03:26|false
265|359|379|2015-05-25 17:56:53|false
266|339|411|2022-07-07 18:37:43|false
267|339|466|2022-06-04 05:02:31|false
268|249|133|2019-11-18 19:38:14|false
269|276|129|2016-02-12 20:49:15|true
270|273|177|2016-06-11 15:20:32|true
271|459|132|2017-08-09 08:04:57|true
272|447|333|2016-03-10 23:14:01|true
273|45|245|2017-12-28 15:08:16|false
274|189|188|2015-04-25 23:02:35|false
275|192|265|2017-04-26 10:08:57|true
276|487|347|2020-12-02 22:04:57|false
277|55|346|2020-04-11 05:32:48|false
278|152|459|2022-11-17 01:35:49|false
279|302|364|2018-05-04 07:02:41|true
280|50|393|2017-03-21 20:33:12|false
281|8|451|2022-04-06 17:02:19|true
282|251|435|2022-05-22 10:58:49|false
283|437|282|2018-03-29 11:48:50|false
284|26|97|2019-03-28 09:11:11|true
285|294|489|2017-10-07 13:22:10|true
286|231|58|2017-04-28 03:38:57|false
287|282|89|2015-11-26 06:10:28|true
288|366|248|2018-07-24 23:04:14|true
289|23|151|2017-02-18 21:23:13|true
290|387|384|2017-04-10 10:04:18|false
291|332|380|2019-02-14 18:53:49|true
292|357|141|2015-04-12 21:30:40|false
293|350|284|2022-09-08 18:56:37|true
294|465|246|2018-10-27 22:34:25|false
295|302|35|2016-11-14 10:53:25|false
296|34|418|2018-12-26 20:28:36|true
297|300|241|2016-01-01 18:33:16|false
298|346|488|2020-02-14 19:21:59|true
299|416|145|2020-05-13 00:47:22|false
300|231|392|2015-09-27 17:52:52|false
301|196|367|2017-10-23 23:07:29|true
302|308|199|2019-09-14 10:30:55|true
303|249|267|2019-05-23 04:51:58|true
304|439|309|2022-09-28 10:37:02|true
305|79|375|2017-04-15 08:20:40|false
306|105|75|2017-11-12 18:10:05|false
307|489|256|2021-05-06 11:35:41|false
308|127|183|2020-07-30 00:21:42|true
309|434|421|2021-01-01 19:52:35|false
310|444|284|2017-03-23 12:45:25|true
311|138|268|2017-10-13 08:01:29|false
312|264|284|2020-05-05 07:19:39|true
313|394|280|2015-04-18 09:52:26|true
314|308|107|2019-05-05 09:05:47|false
315|28|313|2020-03-03 08:31:13|false
316|20|479|2022-06-24 06:31:45|true
317|265|399|2020-01-13 17:06:18|false
318|91|399|2019-06-16 05:35:35|true
319|140|107|2018-06-09 14:42:20|false
320|109|475|2021-11-21 03:01:11|false
321|193|168|2015-06-25 05:25:19|false
322|59|140|2020-12-31 05:30:09|false
323|40|308|2018-01-12 13:23:32|true
324|390|492|2022-05-30 11:27:39|false
325|171|272|2017-06-07 23:31:04|true
326|243|431|2015-09-29 10:05:55|true
327|347|247|2016-10-18 15:19:27|false
328|201|381|2017-06-19 11:46:38|false
329|13|63|2016-10-23 17:51:43|false
330|109|109|2020-02-17 02:22:56|false
331|387|36|2015-07-22 06:35:32|false
332|323|324|2021-10-27 22:41:31|false
333|382|452|2021-05-05 19:10:41|true
334|165|202|2019-11-21 00:08:41|true
335|484|304|2022-10-15 06:22:46|true
336|101|327|2022-04-30 09:35:39|true
337|446|235|2019-02-07 21:14:47|false
338|450|363|2015-08-16 22:38:23|false
339|355|439|2017-09-02 17:12:42|false
340|382|3|2020-04-21 10:22:39|true
341|430|227|2015-06-13 20:09:41|true
342|408|230|2021-11-23 06:19:27|true
343|468|205|2019-08-28 03:14:34|true
344|40|292|2017-03-31 23:23:36|false
345|370|98|2018-09-12 03:13:31|false
346|78|417|2021-01-17 06:51:24|true
347|305|484|2020-07-31 03:54:49|true
348|106|321|2021-04-17 09:59:12|false
349|29|406|2017-05-29 23:36:36|true
350|308|246|2015-01-04 09:21:32|true
351|244|7|2020-06-01 01:59:47|false
352|23|353|2019-06-19 15:01:26|false
353|380|393|2022-03-25 19:25:59|true
354|73|21|2022-11-15 05:16:07|true
355|267|358|2022-07-29 21:01:07|true
356|422|293|2018-01-27 13:09:49|false
357|231|200|2017-09-22 01:44:46|false
358|297|270|2015-05-10 23:53:05|false
359|59|194|2019-04-09 06:48:18|false
360|35|219|2018-01-26 14:46:55|false
361|46|384|2016-07-23 22:53:10|false
362|483|443|2018-02-28 22:05:55|false
363|460|236|2019-12-16 02:43:24|false
364|222|200|2019-08-24 21:47:29|true
365|435|275|2016-06-14 01:14:27|true
366|360|219|2021-10-26 02:22:11|false
367|46|18|2019-01-21 03:41:22|true
368|479|268|2020-09-20 00:10:36|true
369|89|11|2018-05-26 18:43:02|false
370|253|182|2021-12-04 22:53:03|true
371|381|463|2016-09-01 21:06:11|true
372|153|69|2020-03-21 22:28:26|false
373|474|170|2020-11-15 06:52:30|false
374|499|98|2018-03-17 03:46:38|true
375|259|388|2015-01-26 13:15:57|true
376|489|134|2022-09-14 21:24:45|true
377|172|254|2021-12-09 08:27:38|false
378|426|487|2015-12-23 19:57:59|false
379|448|425|2017-05-20 06:59:49|true
380|366|230|2020-02-22 17:30:56|false
381|131|329|2021-02-12 01:19:39|true
382|69|98|2018-05-26 13:02:06|false
383|259|300|2017-09-19 06:07:46|false
384|15|277|2018-06-02 07:17:04|true
385|182|68|2016-12-05 20:26:04|true
386|443|456|2017-12-31 15:45:54|false
387|163|395|2015-05-04 19:11:09|false
388|199|57|2016-07-19 23:07:32|false
389|298|468|2017-04-17 09:59:27|true
390|459|121|2021-06-17 00:28:26|false
391|404|490|2019-01-21 00:55:15|true
392|371|203|2021-01-11 12:55:05|true
393|306|5|2016-09-11 04:23:52|true
394|196|129|2018-07-10 20:48:45|true
395|357|405|2020-07-22 19:44:54|true
396|270|148|2020-05-08 04:14:34|false
397|304|369|2022-05-06 13:36:11|true
398|104|404|2022-03-29 13:24:05|true
399|431|247|2020-07-09 05:19:35|true
400|470|228|2020-05-04 15:06:22|false
401|53|416|2018-03-24 08:03:01|true
402|380|234|2022-07-26 05:35:04|false
403|74|46|2016-01-14 04:47:38|false
404|320|181|2016-12-16 06:58:01|false
405|108|163|2019-04-21 09:56:54|false
406|250|280|2022-03-10 11:59:36|true
407|34|342|2018-06-11 14:15:30|true
408|3|27|2020-09-29 11:58:23|true
409|218|133|2022-03-27 16:57:28|false
410|302|475|2016-08-01 11:47:23|true
411|482|481|2021-09-25 19:53:45|false
412|215|113|2019-05-12 18:33:23|false
413|489|150|2019-07-20 18:33:08|false
414|4|450|2022-08-29 03:58:49|true
415|23|240|2021-12-06 04:44:25|false
416|450|392|2016-07-21 02:15:55|true
417|53|314|2019-01-01 01:21:47|false
418|175|354|2015-12-15 17:08:27|false
419|235|140|2022-03-08 12:25:50|true
420|254|422|2020-10-19 02:23:58|true
421|258|27|2022-12-11 08:19:27|false
422|7|312|2015-12-12 07:28:22|true
423|354|10|2022-06-04 13:20:44|true
424|218|392|2021-01-24 22:11:51|true
425|112|59|2018-06-16 09:24:48|false
426|494|176|2022-07-06 05:25:34|true
427|479|383|2019-07-05 22:57:42|false
428|492|440|2019-08-10 08:33:25|false
429|478|90|2019-02-06 06:19:06|true
430|253|206|2018-05-29 09:47:51|true
431|195|2|2022-06-24 08:44:46|false
432|125|435|2017-10-05 02:56:51|true
433|87|118|2022-11-30 00:59:49|true
434|11|446|2022-08-29 07:32:59|true
435|176|39|2021-07-21 17:58:36|false
436|199|192|2016-08-20 08:13:09|true
437|485|335|2015-06-08 09:09:26|true
438|180|370|2021-09-18 14:40:17|false
439|222|129|2017-04-19 19:03:16|false
440|374|92|2020-02-25 07:35:31|true
441|444|209|2019-07-27 06:00:55|true
442|234|255|2018-09-01 20:04:01|true
443|189|43|2019-10-08 21:26:00|true
444|333|107|2017-11-09 02:12:41|true
445|288|11|2019-12-02 10:12:03|true
446|32|300|2016-06-10 15:09:08|true
447|471|300|2016-06-12 14:46:44|false
448|432|21|2022-01-23 09:50:36|false
449|371|440|2019-05-09 04:35:13|false
450|289|143|2017-03-27 00:08:54|true
451|284|395|2017-05-25 03:34:16|true
452|480|458|2018-05-28 03:08:38|false
453|144|414|2020-11-08 10:46:00|false
454|15|103|2018-08-03 05:37:34|true
455|469|378|2016-04-05 05:05:41|true
456|415|88|2017-06-14 12:45:53|true
457|445|449|2015-05-19 07:11:10|true
458|206|436|2015-01-14 20:37:30|true
459|198|10|2018-01-13 17:01:24|true
460|183|152|2022-11-09 20:39:42|true
461|428|333|2016-10-24 19:59:33|true
462|278|92|2015-11-10 11:41:46|false
463|320|92|2016-05-01 15:59:06|false
464|251|186|2016-07-29 20:52:32|true
465|39|55|2022-03-25 02:28:01|false
466|496|340|2021-07-08 03:37:55|true
467|468|257|2018-10-31 03:33:01|true
468|17|196|2018-10-11 18:48:12|true
469|123|147|2019-06-16 13:52:40|true
470|30|50|2016-04-30 04:28:45|true
471|330|468|2021-11-06 04:21:41|false
472|121|70|2018-06-06 22:18:55|true
473|39|65|2021-01-22 06:17:40|false
474|266|233|2017-06-17 02:33:43|false
475|388|458|2019-11-14 06:25:26|true
476|191|444|2018-11-24 22:49:44|false
477|245|429|2021-04-24 01:19:25|true
478|230|214|2020-09-22 04:56:34|true
479|80|7|2017-06-30 18:37:47|true
480|241|21|2021-05-04 14:48:39|true
481|326|163|2017-09-11 04:21:55|false
482|259|29|2021-10-02 08:28:16|true
483|296|118|2019-11-03 07:28:00|false
484|34|386|2018-10-13 12:02:50|true
485|45|317|2016-05-17 23:12:32|false
486|113|41|2019-11-22 10:23:28|true
487|106|165|2019-05-20 23:37:14|false
488|381|60|2017-09-15 01:31:07|true
489|374|71|2018-10-11 01:21:26|false
490|345|193|2021-05-30 08:37:46|false
491|253|291|2020-11-14 08:41:59|false
492|386|248|2020-10-28 19:00:54|false
493|137|335|2019-11-29 02:20:47|true
494|305|498|2017-10-01 10:41:28|false
495|399|402|2015-11-05 23:58:50|false
496|155|164|2021-12-10 04:59:14|true
497|315|125|2018-06-30 03:46:55|true
498|163|452|2020-02-12 05:45:34|false
499|359|479|2019-12-27 15:51:54|true
500|400|387|2019-03-02 18:01:46|true
