cod_tramite|cod_usuario|estado|fecha_registro|cod_asesor_propuesto|versionInicial
260|142|RECHAZADO|2015-09-01 18:56:50|403|IpsumIntegerA.mp3
261|159|RECHAZADO|2019-01-17 18:35:33|295|MattisPulvinarNulla.txt
262|404|APROBADO|2018-01-26 23:15:42|287|MassaVolutpatConvallis.png
263|322|APROBADO|2021-12-29 18:29:58|484|EtMagnisDis.tiff
264|369|RECHAZADO|2015-04-29 19:03:51|466|ConvallisNuncProin.avi
265|188|APROBADO|2018-11-21 00:48:08|37|Molestie.tiff
266|117|APROBADO|2015-03-08 14:02:19|108|EgetSemperRutrum.mpeg
267|323|APROBADO|2022-01-24 03:51:05|129|LaciniaSapienQuis.mp3
268|473|APROBADO|2016-09-14 09:06:33|140|Sem.txt
269|294|EN PROCESO|2016-05-03 23:04:46|440|MiPede.mp3
270|473|EN PROCESO|2018-05-07 01:35:35|105|InHacHabitasse.ppt
271|130|EN PROCESO|2021-10-25 16:10:06|351|LeoPellentesque.xls
272|220|EN PROCESO|2016-12-07 03:50:24|60|Id.gif
273|279|EN PROCESO|2022-04-22 05:12:46|114|QuisquePorta.avi
274|28|APROBADO|2020-02-13 12:42:02|169|MassaDonecDapibus.xls
275|97|EN PROCESO|2019-09-20 16:29:48|398|Feugiat.gif
276|1|EN PROCESO|2018-03-27 17:10:47|112|JustoEtiam.jpeg
277|74|RECHAZADO|2016-06-03 02:56:02|463|Pretium.jpeg
278|222|RECHAZADO|2015-07-23 22:33:27|463|Vitae.ppt
279|348|EN PROCESO|2022-04-01 08:20:42|498|MorbiNon.mp3
280|90|APROBADO|2015-06-29 14:28:06|483|OrciLuctusEt.png
281|301|EN PROCESO|2020-06-02 21:26:09|128|Ipsum.tiff
282|410|EN PROCESO|2016-01-28 23:04:55|498|UtErat.jpeg
283|367|EN PROCESO|2022-10-12 02:10:29|304|InFelisEu.txt
284|345|APROBADO|2020-12-27 21:44:52|147|DictumstMorbi.mpeg
285|170|APROBADO|2016-03-06 14:00:34|461|NecEuismodScelerisque.avi
286|30|RECHAZADO|2018-10-24 03:23:18|375|DonecOdio.xls
287|4|APROBADO|2017-01-29 08:45:32|218|Tortor.avi
288|85|EN PROCESO|2022-09-29 03:45:21|353|AliquetAt.mp3
289|19|EN PROCESO|2016-03-16 03:28:41|170|Eu.xls
290|205|APROBADO|2017-06-08 15:21:24|271|AugueVestibulum.avi
291|37|APROBADO|2019-09-26 10:59:00|286|Lobortis.avi
292|224|RECHAZADO|2019-11-29 11:52:18|140|Hac.avi
293|104|APROBADO|2019-10-31 07:33:25|101|DuisMattis.mp3
294|416|EN PROCESO|2019-08-17 18:35:57|144|NonInterdum.png
295|155|RECHAZADO|2022-06-20 16:32:18|96|LoremIntegerTincidunt.jpeg
296|210|APROBADO|2015-08-21 06:58:31|250|Iaculis.xls
297|407|EN PROCESO|2015-02-20 16:39:14|240|SitAmetConsectetuer.ppt
298|43|RECHAZADO|2019-06-11 16:21:56|244|VehiculaConsequat.avi
299|199|RECHAZADO|2020-01-29 15:39:07|315|ConvallisDuisConsequat.mp3
300|197|EN PROCESO|2017-10-02 22:22:34|127|PrimisInFaucibus.gif
301|114|APROBADO|2022-11-18 22:37:20|362|Dui.ppt
302|390|RECHAZADO|2018-04-28 21:46:12|270|Odio.tiff
303|139|EN PROCESO|2022-02-21 16:00:18|229|AnteNulla.mp3
304|297|APROBADO|2020-10-21 22:55:58|459|PharetraMagnaAc.gif
305|161|EN PROCESO|2022-06-19 09:35:03|46|JustoSit.png
306|289|EN PROCESO|2015-10-29 19:25:54|264|IdNisl.jpeg
307|488|APROBADO|2019-08-29 19:41:11|441|Sapien.doc
308|492|RECHAZADO|2015-10-30 13:40:27|11|LobortisVel.ppt
309|232|APROBADO|2017-01-20 04:01:08|218|Ante.txt
310|154|EN PROCESO|2020-02-11 09:42:56|341|UltricesVelAugue.mp3
311|104|APROBADO|2021-03-31 19:37:04|107|SedTristique.pdf
312|225|EN PROCESO|2020-06-13 08:54:59|271|InImperdiet.xls
313|192|RECHAZADO|2020-04-30 19:10:04|458|NonummyMaecenasTincidunt.ppt
314|224|RECHAZADO|2015-08-28 14:26:52|455|Id.doc
315|248|EN PROCESO|2021-01-17 02:27:13|328|MaurisVulputateElementum.mp3
316|229|RECHAZADO|2017-06-17 07:55:01|261|MaurisVulputateElementum.txt
317|485|EN PROCESO|2019-11-15 04:27:30|386|MusEtiam.mp3
318|29|EN PROCESO|2020-03-03 16:18:57|227|InBlanditUltrices.jpeg
319|300|APROBADO|2022-09-05 12:19:12|7|NislVenenatisLacinia.xls
320|424|RECHAZADO|2016-07-11 13:01:11|469|Sollicitudin.mp3
321|402|EN PROCESO|2022-10-14 04:45:31|263|CursusVestibulumProin.ppt
322|130|RECHAZADO|2015-01-31 04:46:37|235|Elementum.mpeg
323|125|EN PROCESO|2017-08-27 23:01:39|73|Tristique.avi
324|335|EN PROCESO|2019-04-15 07:08:25|236|AmetCursusId.tiff
325|345|APROBADO|2022-09-16 05:11:03|148|In.doc
326|169|EN PROCESO|2022-05-08 19:58:28|422|TurpisDonec.mp3
327|6|APROBADO|2015-01-09 10:16:56|202|EratIdMauris.mp3
328|259|RECHAZADO|2017-09-07 04:29:04|181|Montes.avi
329|263|APROBADO|2020-02-11 09:46:38|229|LectusVestibulumQuam.avi
330|20|APROBADO|2019-02-23 04:11:35|429|UtErat.ppt
331|469|RECHAZADO|2015-06-10 10:06:10|59|MagnaAt.jpeg
332|28|EN PROCESO|2019-01-25 16:24:17|154|Sit.tiff
333|157|EN PROCESO|2016-10-05 07:11:29|33|Arcu.xls
334|357|RECHAZADO|2016-05-15 17:00:53|335|VelitNecNisi.avi
335|26|EN PROCESO|2021-11-03 23:57:36|193|CuraeDuisFaucibus.avi
336|189|EN PROCESO|2019-01-19 15:24:51|28|IdTurpis.mp3
337|322|RECHAZADO|2021-08-01 22:47:32|442|Bibendum.mp3
338|11|APROBADO|2015-06-14 14:09:03|475|Dolor.ppt
339|265|EN PROCESO|2016-10-10 06:44:08|303|PraesentBlanditNam.mp3
340|360|APROBADO|2022-12-07 12:08:15|321|Ante.mp3
341|99|EN PROCESO|2017-02-01 03:44:46|357|Felis.jpeg
342|216|RECHAZADO|2016-07-27 05:10:31|355|Leo.xls
343|376|RECHAZADO|2016-12-28 15:56:33|470|UltricesVelAugue.avi
344|101|RECHAZADO|2019-04-23 17:14:22|165|Risus.jpeg
345|422|EN PROCESO|2018-07-25 08:41:39|261|NatoquePenatibus.tiff
346|29|EN PROCESO|2021-03-30 03:29:07|447|TellusSemper.xls
347|367|APROBADO|2015-08-12 13:32:58|305|AliquamQuis.tiff
348|334|RECHAZADO|2016-08-23 17:10:12|323|FelisSedLacus.png
349|185|APROBADO|2019-12-31 10:06:42|77|Proin.xls
350|25|RECHAZADO|2017-11-06 02:45:16|486|NullaNisl.avi
351|225|APROBADO|2020-07-22 00:59:06|240|EleifendDonecUt.jpeg
352|193|RECHAZADO|2021-10-27 04:00:22|252|PrimisInFaucibus.tiff
353|244|EN PROCESO|2017-01-27 01:05:27|132|EstDonecOdio.mp3
354|430|RECHAZADO|2020-08-10 16:54:54|212|Pede.tiff
355|84|EN PROCESO|2017-06-23 16:25:34|270|PharetraMagna.tiff
356|20|APROBADO|2022-09-18 19:08:27|107|UtMassa.txt
357|482|EN PROCESO|2022-05-20 22:41:50|306|SedAccumsanFelis.avi
358|260|APROBADO|2020-06-24 06:44:05|27|Est.gif
359|347|APROBADO|2017-08-16 18:05:29|404|AuctorSedTristique.mp3
360|437|EN PROCESO|2017-04-18 04:11:14|463|EtMagnis.gif
361|381|APROBADO|2015-03-06 22:23:37|317|MusVivamusVestibulum.gif
362|75|APROBADO|2016-09-11 09:47:28|253|MalesuadaInImperdiet.gif
363|208|EN PROCESO|2019-03-06 00:18:28|57|EuEstCongue.txt
364|443|EN PROCESO|2020-08-12 05:36:23|160|Libero.gif
365|411|RECHAZADO|2021-07-18 07:28:25|169|Pede.gif
366|300|APROBADO|2019-10-23 16:44:44|120|ASuscipitNulla.pdf
367|22|EN PROCESO|2020-11-19 10:05:01|17|Consequat.mov
368|221|EN PROCESO|2018-04-19 05:50:46|192|Et.xls
369|125|EN PROCESO|2022-09-04 01:45:55|373|SemPraesentId.ppt
370|441|APROBADO|2017-03-04 11:04:18|42|Non.xls
371|159|EN PROCESO|2019-11-02 17:12:11|93|VolutpatSapienArcu.mpeg
372|249|EN PROCESO|2020-05-29 18:36:37|440|Eleifend.jpeg
