cod_folio|cod_usuario|fecha
140|77|2015-04-26 15:47:10
141|497|2016-07-05 21:05:56
142|357|2022-10-19 12:26:19
143|476|2019-02-22 02:16:00
144|370|2017-09-23 11:44:24
145|93|2019-02-06 00:42:16
146|61|2021-07-01 00:25:12
147|141|2020-08-10 06:41:42
148|421|2019-03-07 23:08:07
149|260|2016-11-07 18:02:39
150|35|2020-11-06 22:21:27
151|340|2015-12-13 20:18:54
152|458|2021-10-02 08:36:45
153|244|2017-09-11 06:27:24
154|141|2022-05-14 11:37:06
155|486|2015-09-27 21:14:13
156|82|2022-08-13 16:47:02
157|51|2015-02-27 18:21:50
158|154|2017-11-11 16:18:19
159|82|2020-07-15 21:26:46
160|97|2022-07-09 17:10:55
161|203|2015-09-01 07:49:13
162|232|2018-12-21 04:03:13
163|191|2015-11-12 12:21:06
164|288|2021-06-04 04:55:58
165|44|2019-10-15 02:31:00
166|379|2015-11-22 21:04:01
167|315|2021-05-29 11:52:24
168|341|2019-06-22 11:57:51
169|350|2022-09-13 22:03:51
170|499|2020-01-01 03:55:01
171|466|2018-07-07 17:45:05
172|175|2016-07-14 01:52:30
173|435|2021-09-24 11:39:29
174|328|2018-09-02 17:49:45
175|212|2019-06-23 22:12:32
176|117|2017-05-30 03:12:36
177|83|2017-01-19 23:37:15
178|363|2020-02-20 01:03:47
179|431|2020-02-22 17:44:39
180|198|2015-03-22 09:09:44
181|219|2018-05-29 05:00:06
182|303|2015-04-27 18:53:50
183|375|2019-04-19 00:16:37
184|480|2019-06-28 10:53:51
185|244|2019-12-31 07:56:31
186|72|2020-10-09 15:52:35
187|180|2021-09-04 10:49:48
188|271|2018-10-08 04:50:44
189|19|2016-10-27 21:12:02
190|284|2016-12-07 07:14:26
191|92|2016-06-07 12:39:03
192|29|2016-12-19 05:50:32
193|66|2018-08-10 13:41:28
194|145|2015-07-18 07:42:08
195|200|2016-09-02 20:15:52
196|455|2016-02-09 15:24:20
197|392|2018-12-26 05:16:25
198|75|2017-07-02 18:54:15
199|280|2018-03-09 12:31:27
200|100|2021-01-17 02:24:53
201|162|2022-11-14 21:57:05
202|478|2018-04-29 05:39:34
203|238|2018-04-23 11:12:32
204|29|2016-09-29 14:26:55
205|236|2022-07-21 08:36:28
206|418|2020-08-10 10:00:50
207|22|2016-12-17 18:38:43
208|491|2021-11-21 22:07:27
209|29|2015-07-21 02:36:11
210|329|2019-06-16 06:07:29
211|79|2020-07-09 01:14:53
212|500|2016-11-11 01:58:43
213|329|2020-09-23 06:40:23
214|286|2017-10-30 15:04:28
215|336|2019-02-19 14:10:21
216|494|2022-09-22 13:18:41
217|435|2022-08-31 03:22:47
218|236|2019-04-13 07:10:07
219|254|2017-12-11 05:29:14
220|322|2017-03-11 10:56:41
221|29|2019-07-21 08:01:46
222|385|2021-05-25 10:33:16
223|141|2015-11-03 10:20:38
224|85|2022-05-24 06:38:28
225|174|2018-12-26 08:05:16
226|22|2020-09-25 16:32:01
227|262|2016-08-03 05:38:12
228|289|2022-02-28 10:10:52
229|30|2022-07-25 09:17:52
230|167|2018-09-18 07:36:34
231|1|2017-09-06 12:35:55
232|445|2021-12-23 00:56:35
233|168|2021-02-02 01:25:56
234|81|2016-03-09 05:46:21
235|129|2022-09-27 12:47:19
236|448|2021-11-02 16:37:55
237|2|2022-06-18 10:56:06
238|448|2017-10-24 20:51:04
239|235|2019-10-03 04:15:01
240|152|2018-01-01 15:48:18
241|34|2016-06-30 00:40:30
242|202|2020-02-11 10:15:39
243|318|2018-04-28 00:59:12
244|385|2022-02-10 15:28:52
245|228|2022-04-25 17:05:47
246|425|2016-06-05 09:34:15
247|113|2018-12-23 22:45:20
248|7|2015-05-11 07:02:12
249|489|2019-03-02 05:47:51
250|245|2022-10-05 12:34:20
251|29|2018-10-18 18:40:40
252|309|2017-05-01 15:03:37
253|401|2021-09-01 12:32:45
254|359|2016-07-14 09:08:32
255|28|2021-08-11 07:29:37
256|219|2021-07-28 05:20:26
257|438|2018-07-07 03:11:44
258|319|2020-12-14 20:14:49
259|150|2021-06-21 09:48:04
260|225|2021-09-25 18:27:18
261|167|2016-08-25 01:13:07
262|284|2020-10-01 10:32:49
263|186|2016-06-01 20:08:41
264|310|2015-02-25 09:55:21
265|492|2021-11-30 09:10:10
266|81|2016-12-05 04:47:36
267|99|2016-04-24 12:39:41
268|273|2022-10-17 03:48:49
269|150|2016-11-03 10:35:56
270|164|2020-07-14 12:30:37
271|142|2019-04-05 07:29:36
272|143|2020-10-03 19:33:26
273|317|2017-12-12 16:54:13
274|212|2019-10-01 17:24:52
275|454|2016-05-26 01:33:18
276|269|2015-08-12 03:47:24
277|57|2017-12-01 02:53:51
278|476|2017-01-01 01:02:57
279|315|2015-09-06 15:21:33
280|400|2018-09-25 15:47:34
281|43|2022-07-12 11:34:09
282|472|2015-06-11 03:59:25
283|393|2022-07-28 07:31:15
284|202|2022-10-05 18:29:24
285|209|2018-04-04 16:44:05
286|339|2018-03-24 06:02:56
287|18|2018-01-10 13:14:30
288|380|2019-05-03 18:20:31
289|478|2020-07-04 04:05:58
290|360|2018-10-22 01:49:51
291|257|2022-05-16 06:58:20
292|435|2016-01-01 10:49:03
293|62|2022-12-23 21:56:53
294|136|2019-09-18 07:34:44
295|319|2016-01-30 05:13:45
296|250|2018-06-25 06:01:37
297|313|2019-12-17 10:44:32
298|107|2018-11-23 09:22:19
299|218|2020-09-07 10:59:00
300|88|2022-02-02 16:17:42
301|352|2020-03-17 00:20:10
302|148|2017-11-14 18:03:46
303|95|2018-07-09 23:16:48
304|178|2022-03-04 21:55:59
305|491|2017-11-12 02:20:23
306|377|2020-09-20 01:23:17
307|161|2022-08-26 12:07:07
308|112|2019-05-02 20:57:19
309|277|2016-02-03 00:56:43
310|228|2020-08-04 21:19:20
311|461|2022-04-29 23:43:10
312|184|2022-06-12 12:31:30
313|3|2015-02-14 01:57:17
314|213|2020-04-18 08:10:20
315|77|2017-03-20 00:29:43
316|164|2018-09-04 17:16:06
317|500|2015-02-25 09:14:01
318|287|2015-11-16 06:11:19
319|197|2019-07-02 15:51:11
320|433|2015-04-15 23:44:33
321|142|2019-06-12 05:29:04
322|375|2018-12-06 03:47:08
323|225|2020-11-22 15:36:55
324|78|2017-03-19 22:23:50
325|348|2015-10-05 19:20:48
326|27|2017-12-19 05:46:22
327|384|2015-08-09 04:56:32
328|390|2021-02-25 03:04:41
329|246|2021-02-23 23:08:04
330|349|2015-05-30 15:12:18
331|234|2016-07-19 22:27:38
332|155|2018-03-06 17:18:19
333|295|2015-03-30 12:57:06
334|278|2018-11-07 10:01:26
335|189|2017-07-09 23:53:27
336|207|2020-01-17 19:53:08
337|228|2022-11-06 21:07:22
338|311|2020-10-29 07:09:06
339|73|2016-02-03 13:37:26
340|300|2015-10-30 01:25:01
341|32|2019-02-14 14:37:35
342|189|2022-12-28 18:25:51
343|166|2020-08-30 04:09:42
344|359|2020-02-24 05:03:26
345|159|2016-09-16 08:10:53
346|328|2019-04-24 04:48:31
347|279|2022-09-28 14:31:24
348|465|2021-05-25 20:20:38
349|479|2022-07-05 13:24:05
350|250|2021-02-16 20:35:25
351|363|2016-12-21 08:42:22
352|203|2018-09-03 02:13:32
353|113|2021-06-22 15:47:51
354|146|2022-10-21 09:50:22
355|404|2022-03-23 15:11:32
356|75|2022-12-08 13:36:18
357|17|2020-10-19 03:43:04
358|247|2016-06-23 21:40:09
359|3|2015-02-18 11:20:10
360|218|2016-09-22 19:39:31
361|229|2022-01-29 10:58:37
362|77|2022-06-29 20:24:13
363|437|2018-12-01 13:42:36
364|121|2021-09-27 21:59:53
365|368|2020-12-15 01:24:56
366|42|2017-10-05 03:34:15
367|72|2018-05-01 20:27:13
368|363|2022-09-02 06:39:04
369|320|2015-04-20 07:48:08
370|4|2016-12-03 10:27:05
371|285|2020-04-28 06:05:36
372|411|2022-11-06 10:58:19
373|252|2021-02-25 04:35:22
374|383|2016-08-27 16:28:36
375|500|2016-12-23 14:21:56
376|262|2022-11-11 18:32:20
377|487|2016-04-24 09:22:59
378|165|2016-06-21 10:22:49
379|155|2017-08-29 08:33:01
380|410|2021-09-04 23:08:05
381|22|2016-04-11 08:03:55
382|18|2017-05-04 14:19:13
383|194|2020-03-02 02:19:10
384|65|2021-01-20 23:17:09
385|262|2015-06-15 16:05:19
386|254|2020-02-03 05:26:57
387|138|2022-01-26 21:28:09
388|432|2020-02-10 03:00:42
389|474|2015-05-04 01:31:02
390|464|2015-07-17 21:48:47
391|276|2022-02-03 00:54:29
392|500|2017-04-26 08:31:05
393|439|2022-06-19 11:25:04
394|263|2021-06-16 02:45:23
395|356|2018-09-07 08:05:02
396|66|2016-09-15 21:32:58
397|381|2020-05-06 20:06:14
398|374|2022-10-11 08:26:23
399|427|2020-01-04 19:28:59
400|414|2020-09-15 05:11:43
401|394|2015-05-26 06:49:35
402|204|2021-05-22 05:40:09
403|414|2017-07-16 05:54:34
404|83|2022-11-03 02:19:23
405|257|2015-08-27 01:19:13
406|403|2016-11-05 00:13:09
407|149|2018-02-23 09:10:25
408|104|2019-03-27 19:41:33
409|30|2022-11-03 00:00:28
410|142|2016-10-23 15:24:06
411|258|2016-12-14 12:32:52
412|373|2020-12-28 17:33:56
413|73|2019-10-18 08:57:17
414|278|2019-04-24 07:43:49
415|300|2017-07-08 15:45:57
416|226|2022-03-28 04:33:59
417|73|2015-05-12 18:15:22
418|110|2022-01-11 10:59:08
419|464|2016-03-02 19:24:15
420|6|2017-08-31 08:00:25
421|374|2016-10-13 03:01:11
422|350|2015-12-31 21:44:02
423|37|2022-04-26 04:42:47
424|322|2015-05-27 09:16:16
425|113|2015-03-18 16:52:48
426|339|2021-12-15 14:32:54
427|160|2017-11-14 07:25:33
428|346|2015-11-26 01:02:11
429|474|2022-07-20 18:05:59
430|349|2019-12-20 01:49:50
431|73|2021-05-11 07:14:00
432|170|2021-08-05 06:48:13
433|482|2018-06-21 02:53:42
434|183|2016-12-03 07:43:10
435|318|2019-04-30 15:46:50
436|304|2018-05-08 00:05:04
437|490|2020-11-17 13:07:25
438|265|2022-01-01 15:01:21
439|70|2018-08-01 21:10:05
440|37|2015-04-04 17:12:32
441|278|2015-07-10 11:24:06
442|125|2017-06-08 11:20:51
443|101|2021-06-22 18:14:13
444|16|2019-02-18 01:45:44
445|418|2018-05-20 18:08:59
446|71|2020-10-27 12:38:20
447|493|2016-12-25 18:50:11
448|87|2017-11-29 17:53:48
449|315|2018-07-03 18:04:14
450|58|2016-01-19 00:17:14
451|176|2018-11-09 12:46:57
452|54|2022-02-23 04:02:06
453|63|2017-05-08 10:02:12
454|276|2020-08-28 00:01:07
455|263|2018-08-09 05:05:16
456|260|2015-01-11 02:32:06
457|238|2022-07-01 12:51:10
458|251|2019-04-01 11:41:25
459|52|2022-09-09 08:47:25
460|449|2022-05-19 00:07:42
461|303|2022-01-19 15:09:57
462|247|2015-05-22 05:18:40
463|421|2020-07-13 21:54:45
464|327|2021-05-22 14:07:52
465|160|2019-07-12 13:04:16
466|74|2021-07-13 12:44:19
467|213|2020-10-05 18:31:23
468|171|2018-06-02 10:57:06
469|456|2019-09-05 19:09:33
470|9|2017-07-03 04:22:12
471|398|2019-02-02 18:53:38
472|200|2022-08-05 05:16:38
473|141|2021-08-11 02:10:41
474|448|2016-05-14 13:48:05
475|275|2018-09-25 19:40:29
476|281|2018-06-24 15:16:40
477|23|2015-02-18 09:45:55
478|61|2019-05-07 14:44:17
479|191|2018-12-25 09:31:58
480|333|2018-12-09 21:51:46
481|112|2021-03-24 08:44:17
482|170|2021-01-27 03:30:28
483|109|2018-07-12 02:55:43
484|309|2019-02-24 17:07:47
485|77|2018-02-26 03:04:03
486|18|2015-01-24 10:55:53
487|171|2020-12-14 13:58:10
488|395|2019-05-05 21:16:40
489|401|2017-03-01 23:46:34
490|3|2016-06-24 20:22:45
491|96|2017-10-24 03:32:41
492|426|2019-11-02 19:15:36
493|21|2018-08-16 15:29:32
494|36|2020-03-28 00:02:58
495|170|2022-09-20 19:51:08
496|440|2019-12-29 18:05:58
497|323|2021-11-02 12:00:47
498|79|2016-06-08 03:08:28
499|153|2016-11-22 21:44:29
500|238|2019-09-28 00:10:18
