cod_revision_asesor|cod_asesor|cod_tesis|fecha|corregido
101|293|160|2021-02-03 02:43:42|true
102|241|7|2020-12-11 17:12:23|true
103|280|222|2020-04-02 07:00:08|true
104|56|406|2012-04-28 23:57:44|true
105|134|193|2003-05-23 19:58:57|false
106|461|218|2006-11-11 06:24:21|false
107|62|304|2020-02-26 13:02:25|false
108|5|276|2018-05-02 14:28:49|false
109|183|88|2005-03-09 21:06:24|true
110|490|136|2020-02-22 22:28:03|false
111|472|15|2014-09-26 13:40:40|true
112|65|306|2014-10-05 16:34:21|false
113|237|293|2008-10-05 10:10:29|false
114|113|215|2017-04-29 12:00:39|true
115|397|40|2021-08-02 06:11:25|false
116|324|431|2005-05-15 07:36:43|true
117|148|261|2017-11-05 10:52:11|true
118|84|116|2022-04-10 11:10:35|false
119|241|330|2007-11-12 01:09:57|true
120|366|457|2014-03-20 14:26:50|false
121|275|248|2006-01-29 12:17:51|true
122|300|396|2002-09-28 10:42:10|true
123|353|288|2005-07-08 16:39:48|true
124|333|102|2011-06-26 00:33:54|false
125|231|325|2019-12-09 14:04:18|true
126|153|148|2022-12-30 10:49:41|true
127|498|144|2012-02-12 05:20:05|false
128|90|26|2012-12-27 19:50:52|false
129|464|137|2022-07-08 09:24:46|true
130|195|63|2016-03-10 12:43:57|true
131|455|347|2020-05-28 17:06:56|true
132|187|286|2021-10-03 21:56:09|false
133|445|108|2018-12-19 22:24:25|true
134|136|80|2019-10-11 07:36:45|true
135|282|401|2007-03-03 01:42:47|true
136|339|428|2009-02-21 22:57:29|true
137|313|176|2022-06-16 21:26:05|true
138|121|348|2019-03-21 09:41:09|true
139|219|75|2017-01-09 03:11:49|true
140|239|421|2004-07-17 01:52:30|true
141|435|445|2000-05-29 23:36:34|false
142|271|190|2000-07-24 17:14:44|false
143|11|412|2013-10-23 14:35:38|true
144|220|239|2011-02-09 14:13:37|true
145|194|343|2005-01-05 20:24:25|true
146|315|424|2000-04-23 18:46:13|false
147|104|26|2019-09-06 17:02:20|false
148|4|396|2015-10-13 22:45:56|true
149|469|337|2011-01-25 14:56:59|false
150|153|84|2015-02-17 22:40:59|false
151|351|421|2015-02-25 23:49:54|true
152|65|30|2007-07-24 22:05:18|true
153|91|34|2019-03-29 04:45:43|false
154|489|428|2008-02-16 14:40:14|true
155|288|74|2011-02-05 02:26:41|true
156|27|79|2022-02-07 01:03:13|false
157|105|164|2003-05-05 09:43:32|true
158|433|367|2011-10-09 04:00:31|false
159|379|45|2006-04-28 17:55:44|true
160|335|407|2019-07-30 11:03:55|true
161|269|121|2003-05-13 22:54:15|true
162|386|100|2022-01-16 04:50:28|true
163|421|108|2016-10-22 02:15:05|false
164|442|149|2013-01-05 19:43:44|true
165|118|275|2009-12-10 05:23:34|false
166|312|131|2008-06-16 19:44:41|true
167|53|203|2006-09-16 00:16:26|true
168|312|76|2005-09-02 01:45:57|false
169|147|490|2014-02-19 07:22:06|false
170|421|213|2015-05-03 11:48:13|false
171|357|347|2009-07-10 21:49:57|false
172|61|114|2022-08-24 17:23:49|false
173|258|436|2007-05-05 17:17:51|true
174|363|368|2018-06-07 16:04:04|false
175|335|305|2014-10-07 15:42:39|false
176|90|383|2008-12-20 04:33:17|true
177|402|305|2012-10-14 02:25:23|false
178|66|140|2008-01-07 23:15:24|false
179|303|103|2022-09-03 01:32:04|true
180|117|290|2018-05-26 00:53:47|true
181|68|110|2022-09-05 01:40:09|true
182|454|287|2008-04-19 19:50:22|true
183|240|64|2022-10-07 13:27:21|false
184|36|306|2000-04-12 17:38:41|false
185|142|387|2021-11-26 08:26:42|false
186|405|339|2019-02-28 02:38:50|false
187|460|90|2005-10-29 02:04:29|false
188|82|498|2005-06-15 14:35:11|false
189|206|365|2016-03-24 00:23:10|false
190|337|94|2009-10-07 23:04:35|true
191|397|392|2009-02-25 14:29:48|false
192|301|159|2007-10-06 22:15:13|false
193|56|138|2014-02-28 22:30:32|false
194|73|288|2019-01-25 21:37:40|false
195|434|156|2003-08-07 00:29:43|false
196|54|115|2004-05-09 05:10:02|true
197|314|173|2001-06-24 23:14:55|true
198|94|440|2012-12-30 01:19:24|false
199|149|10|2007-10-27 02:18:13|true
200|378|142|2008-07-05 23:30:48|true
201|24|277|2016-05-19 11:30:14|true
202|385|319|2015-03-09 22:02:29|true
203|459|245|2000-09-18 12:14:44|false
204|383|254|2018-07-02 00:55:40|false
205|483|363|2006-09-17 17:26:34|true
206|321|197|2017-11-04 02:16:43|true
207|441|326|2012-07-12 10:25:56|true
208|9|435|2003-05-11 14:46:55|true
209|418|274|2004-01-24 07:28:11|false
210|175|395|2011-09-27 22:52:16|true
211|473|496|2017-04-25 13:14:04|true
212|211|59|2020-06-02 16:20:16|false
213|180|278|2019-10-30 08:43:16|true
214|432|109|2019-03-09 08:47:54|false
215|281|165|2016-07-28 04:45:17|true
216|307|316|2003-03-13 08:06:53|false
217|77|96|2001-07-13 20:39:33|true
218|402|300|2009-10-21 08:36:24|true
219|377|387|2003-10-15 21:51:01|true
220|1|484|2020-02-24 01:03:06|true
221|16|430|2009-08-26 01:26:59|true
222|452|193|2000-04-05 04:47:08|true
223|215|249|2008-01-21 00:40:17|true
224|388|27|2018-12-03 04:23:44|false
225|322|453|2012-10-01 13:29:08|false
226|332|348|2001-06-27 04:00:34|true
227|445|463|2005-01-31 01:09:21|false
228|224|314|2019-11-03 19:49:55|true
229|448|118|2010-04-25 06:54:07|true
230|479|279|2003-10-10 17:28:51|false
231|191|302|2007-04-04 02:35:59|false
232|157|322|2010-05-05 20:53:27|false
233|300|142|2008-10-31 02:27:24|true
234|497|347|2001-06-23 09:54:59|true
235|448|444|2020-04-28 10:40:09|false
236|79|470|2005-05-29 06:11:52|true
237|389|126|2020-09-17 18:16:14|true
238|20|294|2012-08-28 20:19:09|false
239|351|204|2007-04-26 14:18:06|true
240|299|153|2021-01-26 19:41:01|false
241|240|425|2021-02-16 19:08:10|true
242|428|306|2012-01-14 14:08:48|true
243|34|286|2015-07-31 22:34:05|true
244|201|439|2009-05-20 09:23:56|true
245|259|201|2022-12-05 13:53:24|true
246|316|454|2021-03-31 22:32:37|true
247|398|161|2005-07-01 20:33:50|false
248|401|474|2022-11-06 00:41:03|true
249|462|9|2012-05-06 01:40:46|true
250|369|485|2010-10-29 05:21:05|false
251|186|90|2000-11-04 04:15:15|true
252|29|179|2004-05-08 13:35:09|true
253|13|410|2009-03-27 12:38:04|true
254|218|24|2017-05-27 22:29:27|true
255|464|339|2018-02-27 12:03:57|false
256|178|203|2002-10-01 10:13:47|false
257|418|448|2017-05-14 20:50:03|true
258|156|283|2007-06-05 00:17:59|false
259|305|188|2019-03-08 16:49:16|true
260|262|395|2003-01-27 10:27:51|true
261|447|200|2001-06-07 23:46:16|false
262|61|481|2002-05-01 10:11:15|true
263|401|21|2002-06-26 09:11:29|true
264|212|208|2003-12-15 09:07:52|true
265|476|150|2015-02-02 18:52:56|true
266|317|328|2007-08-18 11:34:12|true
267|372|341|2010-01-13 09:18:13|false
268|125|99|2017-02-28 20:46:02|false
269|256|424|2002-10-03 19:39:51|true
270|222|3|2016-09-10 05:02:29|false
271|242|440|2001-04-10 13:49:49|true
272|437|32|2004-10-24 09:12:47|false
273|327|194|2017-07-15 13:28:21|false
274|331|486|2008-07-28 00:28:08|false
275|357|197|2019-08-20 11:58:11|true
276|212|456|2009-06-03 21:59:13|false
277|137|359|2018-06-03 06:58:31|true
278|273|248|2004-08-13 10:26:06|false
279|465|82|2018-05-27 05:09:42|false
280|458|191|2017-02-10 22:55:03|false
281|445|258|2008-04-26 11:30:46|false
282|411|205|2015-09-02 11:05:08|false
283|188|13|2001-10-03 20:21:50|false
284|258|278|2014-10-31 02:30:16|false
285|27|92|2002-08-20 14:26:20|false
286|344|309|2012-06-27 02:15:58|false
287|147|32|2010-05-11 10:01:09|false
288|396|326|2016-03-30 00:01:56|false
289|256|201|2019-07-10 03:07:48|true
290|147|338|2008-02-14 06:58:33|true
291|461|61|2000-07-02 02:00:45|false
292|16|300|2005-05-04 17:52:36|true
293|350|187|2017-10-29 16:38:58|true
294|393|45|2011-11-22 04:17:03|true
295|286|65|2019-03-13 23:54:48|true
296|193|494|2010-12-20 22:38:21|true
297|457|237|2011-01-05 17:51:20|false
298|325|4|2012-02-04 22:14:17|true
299|96|106|2001-05-05 05:32:23|true
300|153|294|2022-07-19 20:26:40|true
301|205|60|2005-11-13 17:20:45|true
302|122|142|2008-11-26 19:08:43|false
303|31|255|2001-05-17 11:30:53|false
304|211|357|2020-12-28 21:12:00|false
305|339|137|2014-01-16 01:37:38|false
306|111|91|2011-07-30 11:55:49|true
307|276|130|2009-01-30 20:16:04|true
308|219|394|2008-05-22 17:41:54|true
309|155|40|2011-08-04 20:23:02|true
310|24|207|2017-10-30 21:09:44|true
311|35|148|2006-04-14 08:32:34|true
312|178|194|2020-08-22 01:55:02|false
313|85|494|2004-08-01 03:29:04|true
314|154|47|2013-11-01 04:26:03|false
315|89|14|2019-12-23 16:11:57|true
316|310|468|2013-04-29 10:48:12|true
317|123|225|2007-01-27 07:12:59|false
318|204|433|2010-08-16 17:50:57|false
319|61|434|2019-06-07 21:34:55|true
320|489|242|2014-03-19 18:47:30|false
321|4|462|2003-11-21 02:34:19|false
322|191|52|2018-10-28 12:48:20|true
323|444|189|2011-05-01 15:50:46|true
324|383|101|2012-11-01 07:23:03|true
325|140|42|2014-04-17 08:46:43|false
326|179|59|2021-12-22 22:57:00|false
327|70|85|2004-09-29 04:11:58|false
328|287|172|2006-05-13 11:09:09|false
329|403|114|2003-06-01 06:50:08|false
330|95|211|2015-05-24 00:00:47|true
331|460|294|2013-08-24 05:31:12|false
332|152|311|2007-07-17 12:32:10|true
333|469|66|2010-04-16 14:17:44|false
334|497|384|2003-09-14 17:58:27|false
335|397|165|2022-01-05 16:25:02|false
336|460|17|2006-10-28 16:38:29|false
337|207|409|2011-07-06 12:51:58|true
338|315|100|2013-10-04 11:18:19|false
339|459|458|2017-03-19 14:41:23|true
340|150|49|2009-10-25 20:38:05|false
341|128|130|2010-10-26 23:38:24|true
342|226|87|2006-01-10 20:13:38|true
343|474|432|2009-11-25 17:19:48|false
344|275|125|2015-10-04 22:08:21|false
345|191|472|2019-12-08 18:16:21|false
346|256|202|2017-03-31 06:29:06|true
347|75|245|2006-06-14 13:25:11|false
348|214|37|2008-10-31 06:47:17|true
349|213|391|2008-11-30 19:39:10|true
350|220|245|2022-02-19 12:53:51|false
351|291|365|2010-09-12 17:37:17|true
352|235|356|2016-09-06 14:46:26|false
353|172|91|2017-04-15 18:53:47|false
354|287|482|2010-09-05 23:49:42|false
355|407|141|2001-04-08 21:04:56|false
356|197|408|2018-12-07 09:55:28|false
357|420|243|2000-10-20 14:21:28|true
358|81|375|2005-04-23 14:37:06|false
359|415|301|2016-12-30 07:04:53|true
360|467|196|2022-11-20 11:00:31|true
361|322|21|2008-06-11 01:13:59|true
362|227|23|2007-06-22 12:52:26|false
363|135|245|2015-12-23 16:28:56|true
364|411|341|2001-10-19 15:07:44|false
365|149|55|2002-04-18 21:38:13|true
366|315|367|2015-05-09 15:02:58|false
367|366|312|2014-10-19 19:06:22|false
368|54|272|2012-08-04 09:29:11|true
369|70|60|2004-04-03 23:14:56|false
370|109|346|2008-06-16 08:44:26|true
371|380|344|2010-12-19 18:04:56|true
372|338|147|2013-05-28 20:29:49|true
373|54|299|2015-12-24 09:08:23|true
374|338|308|2014-09-03 19:01:29|false
375|382|158|2009-12-29 17:45:11|false
376|468|428|2008-01-29 22:38:23|true
377|32|299|2007-12-26 13:53:25|false
378|439|445|2016-10-13 13:17:50|true
379|237|429|2016-12-16 17:49:09|false
380|366|77|2014-01-06 12:38:55|false
381|291|38|2001-05-21 21:26:16|true
382|255|136|2017-09-18 19:25:53|true
383|481|395|2000-06-06 15:07:18|true
384|191|194|2019-06-10 08:59:13|false
385|144|433|2014-09-18 11:20:23|true
386|383|11|2003-08-15 09:42:10|true
387|95|226|2019-07-23 16:10:19|false
388|7|132|2015-03-15 21:15:10|false
389|96|428|2003-08-17 17:02:58|false
390|248|374|2016-08-09 02:08:12|true
391|224|452|2003-02-27 14:51:07|true
392|391|406|2020-05-05 07:42:39|false
393|441|115|2012-01-02 23:34:30|true
394|102|299|2021-04-19 05:22:02|false
395|219|96|2001-11-17 21:08:05|false
396|217|281|2013-11-21 15:16:51|true
397|75|213|2003-05-08 21:17:35|false
398|414|198|2002-03-08 03:11:03|true
399|160|412|2017-07-26 13:35:49|false
400|253|35|2003-08-02 04:57:01|false
401|316|423|2003-10-23 20:52:02|true
402|498|236|2018-03-14 23:08:26|false
403|177|381|2001-01-17 07:21:44|true
404|180|179|2003-07-01 01:58:43|true
405|229|205|2000-01-26 00:28:35|true
406|174|349|2009-12-15 05:15:33|true
407|8|165|2009-01-02 22:49:55|true
408|221|361|2003-01-31 11:24:05|false
409|205|330|2011-05-18 19:11:00|false
410|320|53|2007-08-10 23:30:13|true
411|408|115|2008-03-18 15:01:20|true
412|325|288|2014-09-28 16:34:51|false
413|292|133|2019-01-03 14:20:32|true
414|423|264|2010-07-24 23:20:55|true
415|142|3|2003-02-02 21:31:30|true
416|18|403|2010-09-02 23:38:59|true
417|178|101|2014-03-16 21:08:10|true
418|284|385|2010-06-17 01:18:54|true
419|424|221|2002-06-13 01:13:36|true
420|319|121|2009-11-30 08:27:45|false
421|88|489|2004-04-27 15:29:49|false
422|414|303|2004-09-29 23:30:11|true
423|92|252|2008-06-28 04:31:26|false
424|455|204|2014-12-31 11:56:02|false
425|131|449|2009-11-05 02:39:24|true
426|309|207|2022-08-03 07:10:08|true
427|330|187|2018-08-14 02:11:11|false
428|333|195|2004-05-15 21:20:25|false
429|450|79|2004-03-23 05:52:58|true
430|487|384|2011-05-14 09:00:22|false
431|58|300|2005-03-23 18:59:36|false
432|337|354|2018-03-01 09:29:26|false
433|296|150|2000-02-23 14:44:23|true
434|94|76|2001-04-24 04:06:20|false
435|208|426|2001-12-26 13:29:02|false
436|12|29|2005-05-03 19:21:09|true
437|363|24|2013-12-27 03:32:06|true
438|182|22|2001-03-15 14:45:16|false
439|151|252|2001-12-09 14:46:25|false
440|265|317|2011-02-21 09:41:11|true
441|319|394|2013-11-07 05:27:53|false
442|224|461|2004-06-24 07:06:27|false
443|178|384|2020-01-08 10:36:06|false
444|269|168|2015-08-15 09:58:42|true
445|117|305|2015-07-08 12:14:46|false
446|461|473|2008-08-06 20:51:33|true
447|165|354|2005-07-03 22:15:04|true
448|270|329|2006-05-22 08:54:56|false
449|126|384|2003-03-23 02:30:47|true
450|274|419|2008-06-24 02:45:52|true
451|421|372|2013-11-17 09:19:25|false
452|63|16|2021-09-26 17:20:44|false
453|129|59|2011-10-07 01:29:02|false
454|58|102|2020-10-12 18:09:57|true
455|500|52|2010-11-11 15:03:22|true
456|267|203|2000-08-28 18:14:30|true
457|133|301|2020-04-29 19:20:09|false
458|148|48|2017-12-21 22:52:19|true
459|460|37|2000-06-12 22:35:10|false
460|398|68|2016-02-12 14:15:41|false
461|220|73|2003-02-14 16:19:07|true
462|283|296|2010-09-10 11:17:19|true
463|448|328|2011-02-20 06:36:48|false
464|68|152|2008-11-22 04:45:13|false
465|291|184|2015-12-22 04:21:27|false
466|309|478|2013-04-06 01:17:10|true
467|196|185|2020-07-20 06:21:22|false
468|170|292|2014-11-07 09:02:41|true
469|87|252|2022-01-25 11:55:25|false
470|26|121|2000-05-10 17:26:38|false
471|126|7|2003-09-13 02:10:08|false
472|276|175|2017-06-05 19:59:10|true
473|15|113|2020-12-15 15:16:28|true
474|298|370|2020-02-04 07:28:09|false
475|487|46|2021-12-27 03:00:34|true
476|344|129|2009-10-15 21:16:25|true
477|131|317|2007-03-31 20:46:37|true
478|28|426|2018-11-06 13:49:04|true
479|474|129|2016-09-18 19:57:30|true
480|237|457|2014-05-19 07:02:06|false
481|59|217|2013-10-16 07:59:08|false
482|238|278|2005-09-05 14:54:52|false
483|329|235|2005-06-29 11:14:09|false
484|153|149|2009-01-24 22:10:53|true
485|20|491|2005-10-25 02:00:35|false
486|333|260|2004-02-16 22:15:40|false
487|305|17|2016-09-09 09:05:45|true
488|486|179|2016-08-05 19:35:42|true
489|316|161|2016-06-19 22:38:13|false
490|379|477|2008-02-09 02:12:23|false
491|169|387|2010-10-10 13:20:29|true
492|180|56|2011-11-12 14:03:56|false
493|414|408|2001-12-27 11:38:01|true
494|209|20|2018-12-02 04:18:55|false
495|112|94|2008-03-22 19:33:16|true
496|165|236|2009-09-08 06:28:13|true
497|347|416|2000-01-19 01:06:52|true
498|428|91|2013-11-16 04:10:01|true
499|26|226|2012-01-19 20:42:48|false
500|58|436|2008-11-06 09:26:28|true
